Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Group,Visibility_Group
FDA15,9.3,Low Fat,0.016,Dairy,249.809,OUT049,1999,Medium,Tier 1,Supermarket Type1,3735.138,Perisable,Low Visibilty
DRC01,5.92,Regular,0.0193,Soft Drinks,48.269,OUT018,2009,Medium,Tier 3,Supermarket Type2,443.4228,Drinks,Low Visibilty
FDN15,17.5,Low Fat,0.0168,Meat,141.618,OUT049,1999,Medium,Tier 1,Supermarket Type1,2097.27,Perisable,Low Visibilty
FDX07,19.2,Regular,0,Fruits and Vegetables,182.095,OUT010,1998,,Tier 3,Grocery Store,732.38,Perisable,Unknown
NCD19,8.93,Low Fat,0,Household,53.861,OUT013,1987,High,Tier 3,Supermarket Type1,994.7052,Household,Unknown
FDP36,10.4,Regular,0,Baking Goods,51.401,OUT018,2009,Medium,Tier 3,Supermarket Type2,556.6088,Perisable,Unknown
FDO10,13.65,Regular,0.0127,Snack Foods,57.659,OUT013,1987,High,Tier 3,Supermarket Type1,343.5528,Non-Perisable,Low Visibilty
FDH17,16.2,Regular,0.0167,Frozen Foods,96.973,OUT045,2002,,Tier 2,Supermarket Type1,1076.5986,Non-Perisable,Low Visibilty
FDU28,19.2,Regular,0.0944,Frozen Foods,187.821,OUT017,2007,,Tier 2,Supermarket Type1,4710.535,Non-Perisable,Low Visibilty
FDY07,11.8,Low Fat,0,Fruits and Vegetables,45.54,OUT049,1999,Medium,Tier 1,Supermarket Type1,1516.0266,Perisable,Unknown
FDA03,18.5,Regular,0.0455,Dairy,144.11,OUT046,1997,Small,Tier 1,Supermarket Type1,2187.153,Perisable,Low Visibilty
FDX32,15.1,Regular,0.1,Fruits and Vegetables,145.479,OUT049,1999,Medium,Tier 1,Supermarket Type1,1589.2646,Perisable,High Visibility
FDS46,17.6,Regular,0.0473,Snack Foods,119.678,OUT046,1997,Small,Tier 1,Supermarket Type1,2145.2076,Non-Perisable,Low Visibilty
FDF32,16.35,Low Fat,0.068,Fruits and Vegetables,196.443,OUT013,1987,High,Tier 3,Supermarket Type1,1977.426,Perisable,Low Visibilty
FDP49,9,Regular,0.0691,Breakfast,56.361,OUT046,1997,Small,Tier 1,Supermarket Type1,1547.3192,Non-Perisable,Low Visibilty
NCB42,11.8,Low Fat,0.0086,Health and Hygiene,115.349,OUT018,2009,Medium,Tier 3,Supermarket Type2,1621.8888,Household,Low Visibilty
FDP49,9,Regular,0.0692,Breakfast,54.361,OUT049,1999,Medium,Tier 1,Supermarket Type1,718.3982,Non-Perisable,Low Visibilty
FDU02,13.35,Low Fat,0.1025,Dairy,230.535,OUT035,2004,Small,Tier 2,Supermarket Type1,2748.4224,Perisable,High Visibility
FDN22,18.85,Regular,0.1382,Snack Foods,250.872,OUT013,1987,High,Tier 3,Supermarket Type1,3775.086,Non-Perisable,High Visibility
NCB30,14.6,Low Fat,0.0257,Household,196.508,OUT035,2004,Small,Tier 2,Supermarket Type1,1587.2672,Household,Low Visibilty
FDR28,13.85,Regular,0.0259,Frozen Foods,165.021,OUT046,1997,Small,Tier 1,Supermarket Type1,4078.025,Non-Perisable,Low Visibilty
NCD06,13,Low Fat,0.0999,Household,45.906,OUT017,2007,,Tier 2,Supermarket Type1,838.908,Household,Low Visibilty
FDV10,7.65,Regular,0.0667,Snack Foods,42.311,OUT035,2004,Small,Tier 2,Supermarket Type1,1065.28,Non-Perisable,Low Visibilty
DRJ59,11.65,low fat,0.0194,Hard Drinks,39.116,OUT013,1987,High,Tier 3,Supermarket Type1,308.9312,Drinks,Low Visibilty
FDE51,5.93,Regular,0.1615,Dairy,45.509,OUT010,1998,,Tier 3,Grocery Store,178.4344,Perisable,High Visibility
FDV38,19.25,Low Fat,0.1703,Dairy,55.796,OUT010,1998,,Tier 3,Grocery Store,163.7868,Perisable,High Visibility
NCS17,18.6,Low Fat,0.0808,Health and Hygiene,96.444,OUT018,2009,Medium,Tier 3,Supermarket Type2,2741.7644,Household,Low Visibilty
FDP33,18.7,Low Fat,0,Snack Foods,256.667,OUT018,2009,Medium,Tier 3,Supermarket Type2,3068.0064,Non-Perisable,Unknown
FDO23,17.85,Low Fat,0,Breads,93.144,OUT045,2002,,Tier 2,Supermarket Type1,2174.5028,Perisable,Unknown
DRH01,17.5,Low Fat,0.0979,Soft Drinks,174.874,OUT046,1997,Small,Tier 1,Supermarket Type1,2085.2856,Drinks,Low Visibilty
NCX29,10,Low Fat,0.0893,Health and Hygiene,146.71,OUT049,1999,Medium,Tier 1,Supermarket Type1,3791.0652,Household,Low Visibilty
DRZ11,8.85,Regular,0.1131,Soft Drinks,122.539,OUT018,2009,Medium,Tier 3,Supermarket Type2,1609.9044,Drinks,High Visibility
